price,title,tags
9.99,Garry's Mod,"Sandbox, Multiplayer, Funny, Moddable,"
0,PAYDAY 2,"Co-op, Action, FPS, Heist,"
29.99,Team Fortress 2,"Free to Play, Multiplayer, FPS, Action,"
24.99,Fallout 4,"Open World, Post-apocalyptic, Exploration, Singleplayer,"
19.99,Subnautica,"Survival, Open World, Exploration, Underwater,"
39.99,Euro Truck Simulator 2,"Simulation, Driving, Open World, Realistic,"
39.99,Arma 3,"Simulation, Military, Multiplayer, Open World,"
3.59,Cubiques,"Early Access, Indie, Simulation, Sports,"
3.49,MEANDERS,"Simulation, VR,"
9.99,Silent Descent,"Adventure, Indie, VR,"
2.99,Hidden Object Adventure: Captain Nemo,"Strategy, Action, Adventure, Indie,"
2.99,AtmaSphere,"Sports,"
9.99,We Were Here Too,"Utilities, Management, VR, Experience,"
1.99,Viki Spotter: The Farm,"Adventure, VR,"
19.99,APEX Tournament,"Early Access, Video Production, Web Publishing, Utilities,"
13.99,Foosball VR,"Action, Indie, VR,"
19.99,Bartender VR Simulator,"Early Access, Indie, Simulation, Sports,"
13.49,Flying Turkey,"Simulation, VR,"
0,Way Out,"Action, Indie, Casual, Simulation,"
3.99,Snowglobe,"Free to Play, Strategy, Action, Indie,"
23.99,Sprint Vector,"Adventure, Indie, VR,"
9.99,Townsmen VR,"Racing, Sports, Action, Indie,"
4.19,Atoms,"Early Access, Strategy, Simulation, VR,"
9.99,Balls! Virtual Reality Cricket,"Strategy, Action, Adventure, Indie,"
0,Hub Culture VR,"Sports,"
4.99,Digital Domain’s Monkey King™,"Utilities, Management, VR, Experience,"
25.49,Sairento VR,"Adventure, VR,Action, VR, Gore, Violent,"
4.99,Skydiving Simulator VR,"Adventure, Indie, Casual, Simulation"
14.99,BREAK ARTS II,"Racing, Indie, Action, Robots,"
16.99,DESOLATE,"Early Access, Violent, Adventure, Horror,"
34.99,Rust,"Survival, Crafting, Multiplayer, Open World,"
10.49,Laser League,"Early Access, Indie, Sports, Multiplayer,"
2.99,ARENA 3D,"Early Access, Indie, Casual, Action,"
29.99,Eco,"Early Access, Survival, Multiplayer, Adventure,"
0,Closers,"Anime, Massively Multiplayer, Action, RPG,"
0,Ancestors Legacy Multiplayer Open Beta,"Gore, Strategy, Violent, Multiplayer,"
17.99,Salt,"Survival, Open World, Adventure, Crafting,"
0,GUNS UP!,"Free to Play, Action, Strategy, Casual,"
12.99,Treadnauts,"Early Access, Action, Casual, Indie,"
1.99,Property,"Action, Indie, Violent, Multiplayer,"
9.99,Battle of Kings VR,"Early Access, Strategy, Indie, Simulation,"
5.99,Armored Evolution,"Early Access, Indie, Action, Casual,"
14.99,BATTALION 1944,"Early Access, FPS, World War II, Action"
0,Closers,"Anime, Massively Multiplayer, Action, RPG,"
0,GUNS UP!,"Free to Play, Action, Strategy, Casual,"
14.99,BATTALION 1944,"Early Access, FPS, World War II, Action,"
4.99,Cyberpunk Arena,"Adventure, Action, Casual, Indie,"
0,With Your Destiny,"Massively Multiplayer, Free to Play, RPG, Action,"
0.99,Blocked and Loaded,"Early Access, Massively Multiplayer, Indie, Action,"
0,Hyper Universe,"Free to Play, Action, Casual, MOBA,"
0,Ship Ahoy Open BETA,"Free to Play, Action, Massively Multiplayer, Indie,"
29.99,Life is Feudal: MMO,"Early Access, Massively Multiplayer, Action, Sandbox,"
2.99,Online Circle Pong,"Indie, Casual, Massively Multiplayer,"
0,Tiger Knight,"Early Access, Strategy, Massively Multiplayer, Free to Play,"
4.99,ZoneDriver,"Early Access, Action, Massively Multiplayer, Indie,"
0,Wuxing Master(CCG),"Strategy, Free to Play, Indie, Massively Multiplayer,"
29.99,PLAYERUNKNOWN'S BATTLEGROUNDS,"Survival, Shooter, Multiplayer, PvP,"
